names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,celltypes
MTUS2,62.95074,3.0881155,0.0,0.0,0.6720608305712614,0.17818527574028797,Cardiomyocytes (NKX2.5+)
TBX20,62.530743,2.1017194,0.0,0.0,0.8198479235718463,0.4271393643031785,Cardiomyocytes (NKX2.5+)
HIPK3,62.437275,2.3025668,0.0,0.0,0.7531682589198674,0.3287693561532192,Cardiomyocytes (NKX2.5+)
LTBP1,62.31954,1.9768376,0.0,0.0,0.8490933905244687,0.5302091822874219,Cardiomyocytes (NKX2.5+)
XPR1,62.31725,2.1859877,0.0,0.0,0.811464223045428,0.4095626188535724,Cardiomyocytes (NKX2.5+)
TANC2,61.66638,1.9766552,0.0,0.0,0.819457984012478,0.4865254007063298,Cardiomyocytes (NKX2.5+)
HDAC9,61.658585,2.4937027,0.0,0.0,0.7720803275492298,0.25468622656886714,Cardiomyocytes (NKX2.5+)
PPP1R1A,61.252403,2.5136557,0.0,0.0,0.7358159485279782,0.23596848682423255,Cardiomyocytes (NKX2.5+)
TSHZ2,61.143757,2.5599506,0.0,0.0,0.7440046792747124,0.3208910622113556,Cardiomyocytes (NKX2.5+)
UGP2,61.13279,1.8938076,0.0,0.0,0.8375901735231039,0.48402607986960067,Cardiomyocytes (NKX2.5+)
ERBB4,60.878456,2.2564347,0.0,0.0,0.8253070774030026,0.44838359141537626,Cardiomyocytes (NKX2.5+)
MASP1,60.861504,3.1740487,0.0,0.0,0.6299473581594853,0.14069546318935072,Cardiomyocytes (NKX2.5+)
LINC00881,60.747444,4.9386225,0.0,0.0,0.5519594462858257,0.039337136647650095,Cardiomyocytes (NKX2.5+)
AKAP6,60.472275,3.470164,0.0,0.0,0.6088906219535972,0.11583808747622928,Cardiomyocytes (NKX2.5+)
TTN,94.996216,5.1018195,0.0,0.0,0.9989804241435563,0.527122991764547,Cardiomyocytes (ISL1+)
HDAC9,93.85067,4.316777,0.0,0.0,0.9176182707993474,0.23855812069663831,Cardiomyocytes (ISL1+)
PDLIM5,93.49791,3.7975283,0.0,0.0,0.990415986949429,0.5096800324017821,Cardiomyocytes (ISL1+)
SLC8A1,92.773315,5.1790915,0.0,0.0,0.9891924959216966,0.32882408532469287,Cardiomyocytes (ISL1+)
MYH6,92.67969,5.4632926,0.0,0.0,0.942699836867863,0.1524503847711624,Cardiomyocytes (ISL1+)
CDH2,91.46303,2.8041925,0.0,0.0,0.9796084828711256,0.6397191845551505,Cardiomyocytes (ISL1+)
CTNNA3,90.70321,3.7585993,0.0,0.0,0.9830750407830342,0.5546375050627784,Cardiomyocytes (ISL1+)
RYR2,90.569534,3.817584,0.0,0.0,0.9826672104404568,0.5058728230052653,Cardiomyocytes (ISL1+)
CACNA1D,89.46943,4.5026417,0.0,0.0,0.9112969004893964,0.26785473201026055,Cardiomyocytes (ISL1+)
CADPS,88.02868,4.110459,0.0,0.0,0.8735725938009788,0.2050222762251924,Cardiomyocytes (ISL1+)
PLN,88.00945,4.5672703,0.0,0.0,0.9371941272430668,0.23242878358309707,Cardiomyocytes (ISL1+)
CHRM2,87.63605,3.49483,0.0,0.0,0.967373572593801,0.4363710004050223,Cardiomyocytes (ISL1+)
EMC10,84.07812,3.59705,0.0,0.0,0.8957993474714518,0.3151073309031997,Cardiomyocytes (ISL1+)
XPR1,83.20773,3.1103783,0.0,0.0,0.8880505709624796,0.4018631024706359,Cardiomyocytes (ISL1+)
MYBPC3,82.82462,3.8457062,0.0,0.0,0.8796900489396411,0.15898474416092886,Cardiomyocytes (ISL1+)
ESRRG,82.6135,3.3471792,0.0,0.0,0.9198613376835236,0.3495612258674227,Cardiomyocytes (ISL1+)
CMYA5,81.79992,3.7827451,0.0,0.0,0.8648042414355628,0.22983664101525583,Cardiomyocytes (ISL1+)
KCNIP4,81.67304,3.6418078,0.0,0.0,0.9216965742251223,0.4398811934656406,Cardiomyocytes (ISL1+)
MT-CO1,80.63959,1.2329246,0.0,0.0,0.9993882544861338,0.9981909004995275,Cardiomyocytes (ISL1+)
MYOM1,80.53971,3.769598,0.0,0.0,0.8798939641109299,0.18053192925610909,Cardiomyocytes (ISL1+)
DLGAP1,78.28583,4.270922,0.0,0.0,0.7811990212071778,0.23917915485351696,Cardiomyocytes (ISL1+)
ACTC1,78.16626,3.7260916,0.0,0.0,0.9575856443719413,0.35952477386256243,Cardiomyocytes (ISL1+)
TAFA4,77.86544,3.7624955,0.0,0.0,0.7964926590538336,0.21350074254083976,Cardiomyocytes (ISL1+)
MYL7,77.24755,3.5028853,0.0,0.0,0.9867455138662317,0.6452544889968949,Cardiomyocytes (ISL1+)
PPP1R13B,76.58294,3.1687086,0.0,0.0,0.8170880913539967,0.2557040637235048,Cardiomyocytes (ISL1+)
ATP2A2,76.11027,2.655067,0.0,0.0,0.8890701468189234,0.4971783448089645,Cardiomyocytes (ISL1+)
POPDC2,75.93342,3.5890546,0.0,0.0,0.7911908646003263,0.16554610503577696,Cardiomyocytes (ISL1+)
RGS6,75.86339,4.019451,0.0,0.0,0.7654975530179445,0.18771432428783583,Cardiomyocytes (ISL1+)
ACTN2,75.66491,3.1920972,0.0,0.0,0.8641924959216966,0.2502497637370055,Cardiomyocytes (ISL1+)
MT-ND4,75.62661,1.3394204,0.0,0.0,0.9993882544861338,0.9939246658566221,Cardiomyocytes (ISL1+)
ZC2HC1A,75.30925,2.847966,0.0,0.0,0.8227977161500816,0.3507492912110166,Cardiomyocytes (ISL1+)
MYL4,75.22873,3.078674,0.0,0.0,0.9708401305057096,0.5157013635749966,Cardiomyocytes (ISL1+)
CAMK2D,74.99249,2.3411949,0.0,0.0,0.9153752039151712,0.5674362089914945,Cardiomyocytes (ISL1+)
PPP1R1A,74.954575,3.2137177,0.0,0.0,0.808115823817292,0.22943161873903065,Cardiomyocytes (ISL1+)
CCDC141,74.92744,2.624886,0.0,0.0,0.886215334420881,0.4325907924935872,Cardiomyocytes (ISL1+)
FILIP1,74.7263,2.5199344,0.0,0.0,0.9335236541598695,0.46537059538274606,Cardiomyocytes (ISL1+)
PPP1R12B,74.70492,3.0918818,0.0,0.0,0.83278955954323,0.35002025111381124,Cardiomyocytes (ISL1+)
TNNC1,74.33836,3.4347386,0.0,0.0,0.8729608482871125,0.23553395436749022,Cardiomyocytes (ISL1+)
PKIA,73.91706,2.7269697,0.0,0.0,0.8562398042414355,0.35307141892804106,Cardiomyocytes (ISL1+)
SLC25A4,73.77172,3.0303996,0.0,0.0,0.8179037520391517,0.284919670581882,Cardiomyocytes (ISL1+)
TNNI1,73.35252,2.645291,0.0,0.0,0.9787928221859706,0.5857972188470366,Cardiomyocytes (ISL1+)
CPEB4,73.01094,2.9739025,0.0,0.0,0.7969004893964111,0.2795193735655461,Cardiomyocytes (ISL1+)
MDH1,72.750946,2.1669438,0.0,0.0,0.893352365415987,0.5417577966788173,Cardiomyocytes (ISL1+)
CADPS2,72.65489,4.20259,0.0,0.0,0.7130913539967374,0.12974213581746996,Cardiomyocytes (ISL1+)
CARMIL1,72.23879,2.8186984,0.0,0.0,0.8130097879282219,0.3453489941946807,Cardiomyocytes (ISL1+)
MITF,72.19191,2.9436836,0.0,0.0,0.8166802610114192,0.24757661671391926,Cardiomyocytes (ISL1+)
TRDN,71.57237,3.1009219,0.0,0.0,0.8111745513866232,0.22573241528284055,Cardiomyocytes (ISL1+)
KCNIP2,70.69111,5.95709,0.0,0.0,0.638458401305057,0.030106655866072633,Cardiomyocytes (ISL1+)
UGP2,70.231674,2.2298098,0.0,0.0,0.8696982055464927,0.4819225057378156,Cardiomyocytes (ISL1+)
MT-CO3,70.11833,1.0486267,0.0,0.0,0.9991843393148451,0.996543809909545,Cardiomyocytes (ISL1+)
TPM1,69.86788,1.8090874,0.0,0.0,0.9989804241435563,0.9249898744430943,Cardiomyocytes (ISL1+)
MEF2C,69.63219,2.9057877,0.0,0.0,0.797716150081566,0.2833265829620629,Cardiomyocytes (ISL1+)
COX7B,69.14434,1.8153801,0.0,0.0,0.9155791190864601,0.65610908599973,Cardiomyocytes (ISL1+)
DOK6,68.94952,2.757469,0.0,0.0,0.7883360522022839,0.3210746591062508,Cardiomyocytes (ISL1+)
SORBS2,68.87015,2.845624,0.0,0.0,0.8762234910277324,0.3075739165654111,Cardiomyocytes (ISL1+)
NEBL,68.69874,2.3473432,0.0,0.0,0.9272022838499184,0.5347374105575806,Cardiomyocytes (ISL1+)
SMPX,67.74297,3.163847,0.0,0.0,0.7449021207177814,0.15282840556230592,Cardiomyocytes (ISL1+)
ASAH1,67.60864,2.515832,0.0,0.0,0.7830342577487766,0.36900229512623195,Cardiomyocytes (ISL1+)
MT-ND3,66.971245,0.99864775,0.0,0.0,0.99836867862969,0.9933576346699069,Cardiomyocytes (ISL1+)
MPPED2,65.304436,2.2791808,0.0,0.0,0.8517536704730831,0.48699878493317134,Cardiomyocytes (ISL1+)
KIAA0319,65.08868,4.945527,0.0,0.0,0.6035889070146819,0.04619954097475361,Cardiomyocytes (ISL1+)
TENT5A,65.074715,2.7985492,0.0,0.0,0.7497960848287113,0.2778992844606453,Cardiomyocytes (ISL1+)
VWDE,64.95236,4.015688,0.0,0.0,0.6358075040783034,0.08319157553665452,Cardiomyocytes (ISL1+)
KCNN2,64.27584,2.4672718,0.0,0.0,0.8111745513866232,0.35164034021871204,Cardiomyocytes (ISL1+)
MYO18B,63.813423,2.8277485,0.0,0.0,0.7377650897226754,0.1872282975563656,Cardiomyocytes (ISL1+)
ENO3,63.60955,2.8290825,0.0,0.0,0.7224714518760196,0.20928851086809774,Cardiomyocytes (ISL1+)
PAM,63.02079,2.0237036,0.0,0.0,0.8592985318107668,0.513649250708789,Cardiomyocytes (ISL1+)
NRP1,62.269115,1.7699066,0.0,0.0,0.9376019575856444,0.6789253408937491,Cardiomyocytes (ISL1+)
RP11-175E9.1,61.960155,2.853328,0.0,0.0,0.7047308319738989,0.25918725529904146,Cardiomyocytes (ISL1+)
PALLD,61.9446,1.884019,0.0,0.0,0.9341353996737357,0.6523288780882949,Cardiomyocytes (ISL1+)
ABLIM1,61.938404,2.0915012,0.0,0.0,0.8631729200652528,0.4528419063048468,Cardiomyocytes (ISL1+)
ARHGAP31,61.514526,2.532051,0.0,0.0,0.7345024469820555,0.288375860672337,Cardiomyocytes (ISL1+)
MT-ND2,61.333702,1.2686262,0.0,0.0,0.9814437194127243,0.9084919670581882,Cardiomyocytes (ISL1+)
